trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
33,False,"{'a': 0.01, 'e': 0.946042343528387}",20,0,-60.99004259089107,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",20,12,-7.877079563734287,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",25,0,-115.34746981451418,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",30,0,-243.76122643460212,"{0: 14, 1: 2, 2: 10, 3: 0, 4: 4}",0
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",35,0,-140.64954373302916,"{0: 20, 1: 4, 2: 10, 3: 0, 4: 1}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",30,0,-108.97106869362621,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",30,0,-196.69031510087672,"{0: 19, 1: 1, 2: 5, 3: 2, 4: 3}",0
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",20,0,-80.23878931064961,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",20,0,-81.45504851344882,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",20,0,-147.681175043565,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",25,0,-44.15936638161192,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199634}",20,0,-82.22139754958778,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",25,0,-120.27101747072521,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255252}",20,0,-52.35750474407977,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
47,False,"{'a': 0.01, 'e': 0.891568288195329}",20,0,-150.14961351406063,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",30,13,-35.92700932562361,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 0}",1
49,False,"{'a': 0.01, 'e': 0.8823328586101215}",25,0,-83.26527686078364,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",20,12,-8.412995412508788,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
