trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
102,False,"{'a': 0.5, 'e': 0.0060967465655156327}",20,0,25.504042684131896,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.0057994047268421414}",20,0,28.643508931704176,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.0055165644207607716}",20,6,24.451191717372993,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.0052475183991813846}",20,12,17.943705156374918,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.0049915939069102126}",20,2,1.269694676360735,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.0047481509994114733}",20,13,13.999968894530657,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.0045165809426126659}",35,8,41.98537003402025,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.0042963046907523398}",25,16,17.000215408956088,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.0040867714384640666}",30,1,20.538495537087808,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.0038874572434761268}",25,8,-31.7115852956362,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
112,False,"{'a': 0.5, 'e': 0.003697863716482929}",20,14,10.516231477037977,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.0035175167749121284}",25,10,29.36341069078796,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.003345965457471272}",30,19,18.756269820335397,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.0031827807965096669}",20,16,7.49550305984605,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.0030275547453758127}",20,14,10.884553602177261,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.0028798991580882404}",20,0,26.952875054047617,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.0027394448187683684}",25,14,0.327735338577813,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.0026058405184084983}",20,2,29.110166511809055,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.0024787521766663585}",30,23,13.85664147557144,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.0023578620064902307}",20,6,-15.78859587984766,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
122,False,"{'a': 0.5, 'e': 0.0022428677194858012}",20,16,8.313667213066001,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.0021334817700377081}",20,13,13.06094434576804,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.002029430636295734}",20,9,5.37734896105506,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.0019304541362277093}",30,23,13.613378434824202,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.0018363047770289056}",20,12,11.998948641978883,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.0017467471362611182}",25,11,18.87776469976344,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.0016615572731739339}",20,1,31.05519504994136,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.0015805221687362171}",20,0,32.07621980549955,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
130,False,"{'a': 0.5, 'e': 0.0015034391929775724}",25,11,22.894015715028758,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.0014301155983078731}",30,12,20.175427579714636,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.0013603680375478928}",25,19,14.181504059261274,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.001294022105465848}",20,15,9.744719583003892,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.001230911902673481}",25,0,-4.2002364490319355,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
135,False,"{'a': 0.5, 'e': 0.0011708796207911744}",25,13,21.88302551280279,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.0011137751478448024}",25,7,35.16811437293622,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.0010594556929076091}",30,12,33.53563170977892,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.0010077854290485105}",25,0,-4.649049491872353,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
139,False,"{'a': 0.5, 'e': 0.00095863515369401986}",25,17,15.204119574144983,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.00091188196555451624}",25,3,34.902258753330656,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.00086740895730700175}",25,7,32.566197135035516,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.00082510492326590384}",30,0,37.28526934127641,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
143,False,"{'a': 0.5, 'e': 0.00078486408131093165}",20,10,17.239915226248897,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.0007465858083766792}",25,5,37.647761801021844,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.00071017438884254903}",30,6,35.41251922647645,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.00067553877519384374}",35,20,27.92492603473632,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.00064259236035555734}",30,14,25.58437854764095,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
