trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
154,False,"{'a': 0.9, 'e': 4.2165626581210996e-05}",20,10,16.969327779406655,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.9, 'e': 4.162330905306972e-05}",25,20,10.762087297600655,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.9, 'e': 4.10913872452334e-05}",30,8,35.218077219493146,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.9, 'e': 4.056959714390036e-05}",35,20,33.239832443267225,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.9, 'e': 4.00576830636116e-05}",25,15,21.072126500556422,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.9, 'e': 3.955539733396622e-05}",20,1,12.35420644154637,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
160,False,"{'a': 0.9, 'e': 3.90625e-05}",25,5,37.0580597746906,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.9, 'e': 3.8578758535550326e-05}",20,14,13.243060477650152,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.9, 'e': 3.8103947568968146e-05}",20,6,24.89648679182165,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.9, 'e': 3.7637848620572846e-05}",30,15,31.968398562657736,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.9, 'e': 3.7180249851279e-05}",25,3,41.093816991795045,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.9, 'e': 3.6730945821854914e-05}",20,15,10.152070191198044,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.9, 'e': 3.628973726230222e-05}",30,19,18.725374608459667,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.9, 'e': 3.58564308508731e-05}",25,10,24.110730532714527,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.9, 'e': 3.5430839002267575e-05}",20,8,-1.405791371214448,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
169,False,"{'a': 0.9, 'e': 3.501277966457757e-05}",20,0,30.531975891856554,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.9, 'e': 3.460207612456748e-05}",25,18,13.268497962927515,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.9, 'e': 3.419855682090216e-05}",35,16,35.29424262067051,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.9, 'e': 3.380205516495403e-05}",20,13,14.766349050358965,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.9, 'e': 3.3412409368839586e-05}",25,11,20.17251649363854,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.9, 'e': 3.302946228035408e-05}",30,13,25.99219823005997,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.9, 'e': 3.265306122448979e-05}",25,5,24.80893772881832,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.9, 'e': 3.228305785123967e-05}",20,12,13.653238232930383,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.9, 'e': 3.191930798940279e-05}",30,18,20.69945703925628,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.9, 'e': 3.156167150612296e-05}",20,6,23.435950731378572,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.9, 'e': 3.121001217190475e-05}",25,10,23.422051552385746,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.9, 'e': 3.08641975308642e-05}",25,14,20.71840670911344,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.9, 'e': 3.0524098775983637e-05}",30,13,25.938372110789324,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.9, 'e': 3.0189590629151068e-05}",20,15,8.00494497628852,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.9, 'e': 2.986055122577563e-05}",25,8,33.12272639499973,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.9, 'e': 2.953686200378072e-05}",35,17,31.254662888798542,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.9, 'e': 2.9218407596785974e-05}",20,11,13.761850549670065,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.9, 'e': 2.8905075731298415e-05}",30,16,22.36269971064461,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.9, 'e': 2.8596757127741712e-05}",25,11,25.619392470646396,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.9, 'e': 2.8293345405160706e-05}",30,12,34.087660231992494,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.9, 'e': 2.7994736989445986e-05}",30,11,34.26194581930752,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.9, 'e': 2.7700831024930747e-05}",30,19,20.3075612212525,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.9, 'e': 2.7411529289219047e-05}",20,5,22.563513120180907,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.9, 'e': 2.712673611111111e-05}",30,17,25.001471674728368,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.9, 'e': 2.684635829149776e-05}",25,13,18.396398888113065,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.9, 'e': 2.6570305027101713e-05}",20,9,22.97165583060777,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.9, 'e': 2.6298487836949376e-05}",20,10,17.353149782819163,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.9, 'e': 2.6030820491461892e-05}",30,0,41.31735735273081,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
197,False,"{'a': 0.9, 'e': 2.5767218944059367e-05}",20,13,13.37562151533105,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.9, 'e': 2.5507601265177022e-05}",20,7,22.00437009918148,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.9, 'e': 2.52518875785965e-05}",20,3,26.1763748069966,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.9, 'e': 2.5e-05}",25,18,14.855692806307902,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.9, 'e': 2.475186257765897e-05}",25,18,13.268071328596745,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.9, 'e': 2.450740123517302e-05}",25,19,9.55763077512832,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.9, 'e': 2.4266543716178503e-05}",20,7,20.50080250163159,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.9, 'e': 2.4029219530949635e-05}",20,16,7.849702022637574,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.9, 'e': 2.3795359904818562e-05}",20,13,16.46879989010113,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.9, 'e': 2.356489772834386e-05}",25,4,32.85964809389337,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.9, 'e': 2.3337767509160075e-05}",25,12,25.78295806443304,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.9, 'e': 2.3113905325443786e-05}",25,12,26.290871800400744,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.9, 'e': 2.2893248780934502e-05}",25,15,17.004431151160677,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.9, 'e': 2.2675736961451248e-05}",30,24,9.98870016342906,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.9, 'e': 2.246131039284832e-05}",30,20,19.709646776438674,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.9, 'e': 2.2249911000356e-05}",20,10,21.225130724699312,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.9, 'e': 2.2041482069254335e-05}",25,7,29.05104775283149,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.9, 'e': 2.1835968206830292e-05}",25,13,21.427455164745894,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.9, 'e': 2.1633315305570577e-05}",30,16,27.551920322480736,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.9, 'e': 2.143347050754458e-05}",20,16,6.230747962374184,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.9, 'e': 2.123638216993353e-05}",25,16,17.877260855517257,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.9, 'e': 2.1041999831664002e-05}",30,3,48.1079008130657,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.9, 'e': 2.085027418110548e-05}",20,12,13.641890112442987,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.9, 'e': 2.066115702479339e-05}",20,0,31.55618570912956,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
221,False,"{'a': 0.9, 'e': 2.047460125714052e-05}",35,9,41.54110216013989,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.9, 'e': 2.029056083110137e-05}",25,15,21.17000363005819,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.9, 'e': 2.0108990729755272e-05}",30,16,25.22513508869095,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.9, 'e': 1.992984693877551e-05}",20,10,19.078370992717083,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.9, 'e': 1.9753086419753087e-05}",25,8,30.476027427234634,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.9, 'e': 1.9578667084344897e-05}",25,0,34.56940942878889,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
227,False,"{'a': 0.9, 'e': 1.9406547769217335e-05}",30,16,16.3349786121481,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.9, 'e': 1.9236688211757463e-05}",35,22,12.71676981715724,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.9, 'e': 1.9069049026525047e-05}",25,19,11.04681437852444,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.9, 'e': 1.8903591682419658e-05}",20,14,12.904271239957447,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.9, 'e': 1.874027848053822e-05}",20,16,8.996631877583951,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.9, 'e': 1.8579072532699166e-05}",20,6,25.271856792394587,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.9, 'e': 1.8419937740610438e-05}",25,18,13.176669203833367,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.9, 'e': 1.826283877565929e-05}",25,16,13.09405081966785,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.9, 'e': 1.8107741059302852e-05}",25,12,25.780451184931312,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.9, 'e': 1.795461074403907e-05}",30,24,11.44698984638107,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.9, 'e': 1.780341469493849e-05}",25,17,16.12208968329967,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.9, 'e': 1.76541204717181e-05}",20,15,7.718455673255415,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.9, 'e': 1.7506696311339088e-05}",20,7,19.594660133170606,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.9, 'e': 1.736111111111111e-05}",20,12,13.745347002542228,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.9, 'e': 1.721733441228629e-05}",25,13,23.463215788278507,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.9, 'e': 1.7075336384126766e-05}",20,12,17.418286467749706,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.9, 'e': 1.6935087808430286e-05}",35,16,25.315710373156534,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.9, 'e': 1.679656006449879e-05}",25,17,13.59343160211348,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.9, 'e': 1.665972511453561e-05}",25,13,21.12842022201895,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.9, 'e': 1.6524555489457333e-05}",30,16,20.84576065790169,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
